cust_id|full_name|contact_email|country|address|zip|created_date|vip_flag
40||bob40@mail.com||192 Main St|ABCDE|2024-02-23|true
41|"Jane|Black"|jane41@mail.com|US|239 Main St||2023-06-17|
42|Chris Brown||UK|96 Main St|20190|2023-04-17|true
43|"Sara|Johnson"|sara43@mail.com|CA|337 Main St|94105|2024-03-17|Y
44|Jane Brown|jane44@mail.com|CA|445 Main St|ABCDE|2023-01-25|Y
45|"Nina|Patel"|nina45@mail.com|UK|41 Main St||2023-01-29|
46||chris46@mail.com|US||ABCDE|2023-11-08|Y
47|Sara Johnson|sara47@mail.com|US||ABCDE|2023-07-30|N
48||emma48@mail.com|NULL|629 Main St|94105|2023-06-26|false
49|Nina Brown|||617 Main St|ABCDE|2023-03-12|
50|Nina Green|nina50@mail.com|US|967 Main St|20190|2023-02-23|N
51|John Black|john51@mail.com|AU|668 Main St|20190|2023-08-08|Y
52|"Mike|Green"|mike52@mail.com|CA|376 Main St|94105|2024-04-16|true
53|Alice Green|alice53@mail.com||490 Main St||2024-04-26|
54|Bob Green|bob54@mail.com||343 Main St|20190|2023-10-24|N
55|Raj White|raj55@mail.com||76 Main St|ABCDE|2024-03-13|Y
56|John Johnson|john56@mail.com|NULL|||2023-03-10|Y
57||jane57@mail.com|NULL|492 Main St||2023-09-26|Y
58|Leo Doe|leo58@mail.com|CA|584 Main St|20190|2023-10-23|true
59|Tom Patel||NULL|807 Main St|20190|2023-04-12|
60|||AU|903 Main St|ABCDE|2023-11-02|true
61|Raj White|raj61@mail.com|CA|295 Main St|94105|2023-06-27|true
62|Leo White|leo62@mail.com||482 Main St|20190|2023-11-04|Y
63||alice63@mail.com|US|236 Main St|94105|2023-05-02|false
64|Bob Black|bob64@mail.com|AU|842 Main St||2024-02-11|true
65|Tom Patel|tom65@mail.com||304 Main St|94105|2024-02-03|
66|Leo Lee||NULL|206 Main St|ABCDE|2023-09-14|N
67|Mike Smith||NULL|133 Main St|ABCDE|2023-10-22|true
68|Sara Green|sara68@mail.com|AU||ABCDE|2024-02-15|N
69|Chris Green|chris69@mail.com|NULL|339 Main St|94105|2023-03-03|N
70||john70@mail.com|NULL|409 Main St|ABCDE|2023-04-24|true
71|Mike Johnson|mike71@mail.com|NULL|964 Main St|94105|2023-09-23|true
72|Leo Brown|leo72@mail.com|UK|925 Main St||2024-04-14|
73|Alice Green|alice73@mail.com|||94105|2023-06-18|true
74|Alice Smith|||91 Main St|94105|2023-05-24|true
75|Bob Black|bob75@mail.com|US|699 Main St|20190|2023-09-22|Y
76|Chris Lee|chris76@mail.com|US|521 Main St||2023-02-04|false
77|Jane Brown|||492 Main St|20190|2024-02-18|N
78|Leo Smith|leo78@mail.com|CA|261 Main St||2023-05-01|false
79|Raj Smith|raj79@mail.com|UK||ABCDE|2023-03-29|true
80|Raj Doe|raj80@mail.com|AU|||2024-03-25|Y
81|Mike Brown||UK|127 Main St|20190|2023-02-22|false
82|Nina Patel|nina82@mail.com|US||ABCDE|2023-08-11|Y
83||emma83@mail.com|AU|440 Main St||2023-12-19|false
84|"Leo|Smith"|leo84@mail.com|US|347 Main St|94105|2023-04-16|Y
85|Nina Black|nina85@mail.com||973 Main St|94105|2023-09-01|
86|||US|254 Main St|94105|2024-03-26|true
87|Mike Green|mike87@mail.com|NULL|131 Main St|ABCDE|2023-05-13|N
88|Leo White|leo88@mail.com|UK|464 Main St|94105|2023-01-05|false
89|Jane Black|jane89@mail.com|AU||ABCDE|2023-03-01|Y
,,,
91|Chris Patel|chris91@mail.com|UK|254 Main St|ABCDE|2023-12-09|true
92|Chris White|chris92@mail.com|||ABCDE|2024-04-12|true
93|Sara Smith|sara93@mail.com|NULL|992 Main St|20190|2024-03-11|Y
94|Jane Brown||UK|357 Main St||2024-04-29|
95|Raj Patel|raj95@mail.com|CA|115 Main St|94105|2023-08-20|N
96|John Lee|john96@mail.com|AU|357 Main St|94105|2023-07-06|true
97|Raj Doe|raj97@mail.com|CA|163 Main St|ABCDE|2024-01-22|N
98|"Chris|Smith"|chris98@mail.com|US|31 Main St|94105|2024-04-25|N
99|"Raj|Brown"|raj99@mail.com|||20190|2024-03-01|false
100|||US|633 Main St||2023-05-17|N
101|Mike Smith|mike101@mail.com||298 Main St|94105|2023-08-29|N
102|Mike Patel|mike102@mail.com||553 Main St||2023-08-26|N
103|Nina Johnson|nina103@mail.com|NULL|372 Main St|ABCDE|2023-08-17|false
104|Alice Johnson|alice104@mail.com|UK|786 Main St|20190|2023-08-27|false
105|Alice Smith|alice105@mail.com|AU|||2023-01-05|
106|Tom Black|tom106@mail.com|NULL|465 Main St||2023-04-15|N
107|Emma White|emma107@mail.com|NULL|547 Main St|20190|2023-03-01|false
108||raj108@mail.com|UK|345 Main St||2024-04-15|false
109|Raj Smith|raj109@mail.com|US|294 Main St||2023-07-22|N
110|Tom White|tom110@mail.com|NULL|562 Main St|20190|2023-10-17|true
111|Sara Lee|sara111@mail.com|CA|95 Main St||2023-08-15|
112||mike112@mail.com|US|694 Main St|ABCDE|2024-01-10|false
113|Nina Brown|nina113@mail.com|AU||94105|2024-04-17|Y
114|Chris Patel|chris114@mail.com|UK|||2023-06-16|Y
115|Bob Patel|bob115@mail.com|AU|164 Main St|ABCDE|2024-02-10|
116|Bob Black|bob116@mail.com|US|945 Main St|94105|2023-02-28|
117|Raj White|raj117@mail.com|NULL|832 Main St|20190|2024-04-11|false
,,,
119|Raj Smith|raj119@mail.com|AU|234 Main St|20190|2023-03-21|
120|Emma White|emma120@mail.com|US|364 Main St|94105|2023-12-06|false
121||chris121@mail.com|UK||ABCDE|2024-03-18|true
122||tom122@mail.com|UK|504 Main St|ABCDE|2023-06-02|true
123|Leo Black|leo123@mail.com|NULL|407 Main St|20190|2023-05-31|
124|Chris Doe||US|256 Main St|94105|2023-03-11|Y
125|Jane Johnson|jane125@mail.com|CA|||2023-03-29|N
126||raj126@mail.com|UK|565 Main St|20190|2023-09-06|true
127|Sara Brown||US|231 Main St|94105|2023-07-04|
128|"Tom|Doe"|tom128@mail.com|CA|232 Main St|20190|2023-11-19|N
"unterminated,quote,here
130|Nina Black|nina130@mail.com|UK|331 Main St||2023-02-12|false
131|"Nina|White"|nina131@mail.com||317 Main St||2024-04-14|true
132|Emma Doe||CA|893 Main St|94105|2024-02-10|Y
133||bob133@mail.com|CA|610 Main St|ABCDE|2023-05-03|Y
134|Bob Green|bob134@mail.com|US|800 Main St||2023-10-11|Y
135||jane135@mail.com|US|543 Main St|20190|2023-03-10|N
136|Sara White|sara136@mail.com|NULL|400 Main St|ABCDE|2023-06-22|
137||mike137@mail.com||550 Main St|94105|2023-06-21|Y
138|Tom Brown||NULL|249 Main St|ABCDE|2023-08-23|Y
139|Mike Smith|mike139@mail.com|UK||ABCDE|2023-04-11|N
140||raj140@mail.com|AU|93 Main St|ABCDE|2023-04-13|
141|Jane Patel|jane141@mail.com||604 Main St|20190|2023-04-03|N
142|Leo Brown||NULL|553 Main St||2023-01-10|N
143||alice143@mail.com|UK|914 Main St|ABCDE|2023-07-21|true
144|||UK|811 Main St|20190|2023-05-12|Y
145|Bob Green||US|581 Main St|94105|2023-12-12|
146|Bob Johnson|bob146@mail.com|CA|636 Main St|94105|2024-01-15|false
147|Sara Doe||UK|942 Main St|20190|2023-03-01|false
148|Chris Doe|chris148@mail.com||979 Main St|94105|2023-05-16|true
149|Alice Green|alice149@mail.com|AU|115 Main St|ABCDE|2024-01-03|Y
150|Chris White|chris150@mail.com|UK|683 Main St||2024-04-27|false
151|Nina Patel|nina151@mail.com|US|527 Main St|20190|2023-10-24|Y
152|Tom Doe|tom152@mail.com|US|332 Main St||2023-05-28|
153|Chris Black|chris153@mail.com||856 Main St|94105|2023-06-15|N
154|John Brown||CA|717 Main St|20190|2023-11-13|N
155|Jane Patel|jane155@mail.com|NULL|725 Main St|94105|2023-05-22|false
156|Leo Johnson||AU|450 Main St|20190|2023-06-07|false
157|Mike Black|mike157@mail.com|CA|329 Main St|20190|2023-05-11|N
158|John Brown|john158@mail.com|UK|221 Main St||2023-06-30|true
159|Mike Patel|mike159@mail.com|AU|313 Main St|20190|2023-02-23|true
160||bob160@mail.com|NULL|207 Main St|ABCDE|2023-08-21|true
161||mike161@mail.com|US|580 Main St|ABCDE|2024-03-04|false
162|Nina Smith|nina162@mail.com|US|421 Main St|20190|2023-05-31|false
163|Bob Black|bob163@mail.com|NULL|883 Main St|ABCDE|2023-06-26|N
164|Bob Lee||UK|381 Main St||2024-03-09|
165|Raj Patel|raj165@mail.com|US|675 Main St|ABCDE|2023-06-24|false
166|Leo Patel|leo166@mail.com||697 Main St|20190|2024-02-24|false
167||mike167@mail.com|AU||20190|2023-09-23|true
168|Raj Smith|raj168@mail.com||388 Main St||2023-01-19|true
169|"Sara|Green"|sara169@mail.com|US|170 Main St||2023-07-04|
170||john170@mail.com|UK|398 Main St|94105|2023-12-09|true
171|Chris Lee|chris171@mail.com||89 Main St|ABCDE|2023-11-25|
172|Mike Smith|mike172@mail.com|US|937 Main St|ABCDE|2023-10-11|Y
173|Emma Lee|emma173@mail.com|NULL||20190|2023-12-25|Y
174|Tom Doe|tom174@mail.com|UK|809 Main St|ABCDE|2023-03-14|
175|Raj Johnson|raj175@mail.com|CA|904 Main St|20190|2024-02-17|
176|John Black|john176@mail.com|AU|359 Main St|20190|2023-05-09|Y
177|Raj Johnson||AU|||2024-05-05|Y
178|Raj Smith|raj178@mail.com|CA|399 Main St|94105|2023-11-15|true
179||tom179@mail.com|CA||94105|2023-12-23|true
180|John Brown|john180@mail.com|NULL|337 Main St||2023-12-07|Y
181|Mike Johnson|mike181@mail.com|NULL|525 Main St|20190|2023-11-25|N
182||mike182@mail.com|US|329 Main St|94105|2023-03-05|Y
183||tom183@mail.com|UK|267 Main St|ABCDE|2024-01-06|
184|John Patel|john184@mail.com|CA|363 Main St|94105|2023-12-28|Y
185|Jane White|jane185@mail.com||364 Main St|20190|2024-02-22|true
186|Alice White|alice186@mail.com|UK|550 Main St|20190|2023-09-16|true
187|Raj White|raj187@mail.com|NULL|861 Main St|94105|2024-04-03|
188|Alice Brown|alice188@mail.com|UK|202 Main St|20190|2023-08-25|Y
189|||CA|966 Main St||2023-06-10|
190|Raj Brown|raj190@mail.com|NULL|494 Main St||2023-07-13|N
191|Leo Black||NULL||20190|2023-01-23|true
192|"Emma|Brown"|emma192@mail.com|US|356 Main St||2023-02-04|true
193|Bob Green|bob193@mail.com|US|358 Main St|20190|2023-09-02|true
123|MISMATCH|EXTRA|COLS|HERE|oops
195|"Nina|Smith"|nina195@mail.com|UK|159 Main St|ABCDE|2023-03-03|true
196|Chris Brown||US|967 Main St||2024-04-13|false
197|Chris Doe|chris197@mail.com|US|503 Main St|ABCDE|2024-02-15|
198|Bob Smith|bob198@mail.com|NULL|198 Main St|ABCDE|2023-12-14|N
199|Mike Smith|mike199@mail.com|AU|111 Main St|94105|2024-02-16|Y
200|John Lee||NULL|109 Main St|94105|2023-12-06|true
201|Jane Black|jane201@mail.com||46 Main St|94105|2023-03-13|false
202|Chris White|chris202@mail.com|UK|942 Main St|20190|2024-04-29|N
203|Nina Green|nina203@mail.com|CA|137 Main St|ABCDE|2023-10-10|Y
204|Mike Smith|mike204@mail.com|NULL|202 Main St|94105|2023-05-30|Y
205|Raj Green|raj205@mail.com|US|519 Main St|ABCDE|2023-07-27|false
206||mike206@mail.com|US|702 Main St|20190|2023-07-16|
207|Raj Black|raj207@mail.com|NULL|812 Main St|ABCDE|2024-03-10|Y
208|"Nina|Brown"|nina208@mail.com|CA|228 Main St|20190|2023-05-07|
209||bob209@mail.com|UK||94105|2024-03-05|
210|John Green|john210@mail.com||924 Main St|20190|2023-06-29|false
211|Raj Green|raj211@mail.com||256 Main St|ABCDE|2024-03-20|N
212|John Black|john212@mail.com|US|205 Main St||2024-02-28|false
213|Mike Lee||CA|458 Main St|94105|2023-07-28|N
214|Raj Black|raj214@mail.com|CA|996 Main St||2023-10-20|N
215|Sara White|sara215@mail.com|US|353 Main St|20190|2023-04-11|Y
216|Jane Smith|jane216@mail.com|US|761 Main St|ABCDE|2023-03-07|false
217||nina217@mail.com|UK|858 Main St||2023-04-04|
218|Sara Lee|sara218@mail.com||74 Main St|94105|2023-01-26|Y
219|"Sara|Smith"|sara219@mail.com|US|944 Main St|20190|2023-03-30|N
220|Emma Patel|emma220@mail.com|NULL|882 Main St||2023-07-21|
221|Leo Green|leo221@mail.com|||ABCDE|2023-03-23|N
222|Alice Doe||AU|197 Main St||2023-01-30|N
223|Chris Patel|chris223@mail.com|NULL|872 Main St|ABCDE|2024-05-01|true
224|Nina White|nina224@mail.com|CA|7 Main St||2024-02-15|Y
225|Chris Smith|chris225@mail.com|US|226 Main St|ABCDE|2023-09-17|false
226|Mike Patel|mike226@mail.com|NULL|977 Main St||2024-02-10|false
227|John Lee|john227@mail.com|AU|255 Main St||2024-01-24|true
228|Emma Black|emma228@mail.com||45 Main St|20190|2023-09-21|true
229|Mike Lee|mike229@mail.com|AU|424 Main St|20190|2024-03-20|true
230|Chris Lee|chris230@mail.com||||2024-02-07|
231|Sara Green|sara231@mail.com|NULL|378 Main St|20190|2023-03-11|false
232|Nina Patel|nina232@mail.com|US||ABCDE|2023-12-25|
233|||CA|434 Main St|20190|2024-01-26|true
234|Sara Black||AU||94105|2023-03-13|true
235|Alice Brown|alice235@mail.com|NULL|748 Main St|20190|2024-05-05|N
236|Nina Patel|nina236@mail.com|NULL|716 Main St|94105|2023-02-01|true
237|Sara Black||UK|346 Main St|ABCDE|2024-04-04|false
238||nina238@mail.com|US||20190|2023-12-04|N
239|Alice Doe|alice239@mail.com||36 Main St|20190|2023-02-21|Y
240|Sara Black|sara240@mail.com||706 Main St||2024-02-09|Y
241|Jane Doe|jane241@mail.com|CA|622 Main St|94105|2023-03-10|
242|Sara Doe|sara242@mail.com|NULL|623 Main St||2023-10-01|Y
243|Nina Doe|nina243@mail.com|NULL|308 Main St|94105|2023-12-28|true
BAD_ROW_WITH_TOO_FEW_COLS
245|Mike Smith|mike245@mail.com||751 Main St|ABCDE|2024-03-09|
246|Emma Doe|emma246@mail.com|US|687 Main St|ABCDE|2024-04-28|N
247|Tom Black|tom247@mail.com|NULL|973 Main St||2024-04-08|false
248|Sara Patel|sara248@mail.com|AU||20190|2024-01-22|true
249|Nina Patel|nina249@mail.com|CA|746 Main St|94105|2023-01-09|true
250||john250@mail.com|CA|268 Main St||2023-10-18|
251|Chris Brown||US|531 Main St|20190|2023-01-11|
252|Alice Patel|alice252@mail.com||951 Main St|20190|2023-03-15|N
253|Mike Green|mike253@mail.com|UK|665 Main St|94105|2023-07-11|false
254|Leo Lee|leo254@mail.com||968 Main St|ABCDE|2023-11-20|N
255|Sara Green|sara255@mail.com|US|208 Main St||2023-04-28|false
256||raj256@mail.com|AU|||2023-07-28|N
257|Alice Brown|alice257@mail.com||188 Main St|94105|2023-08-15|Y
258|Alice Lee|alice258@mail.com||232 Main St|20190|2023-10-02|
259|Bob Black|bob259@mail.com|AU|210 Main St|ABCDE|2023-10-07|Y
260|Chris White|chris260@mail.com|US|574 Main St|20190|2023-04-12|
261||alice261@mail.com||99 Main St||2023-01-08|
262|||NULL|190 Main St|ABCDE|2024-03-25|
263|Sara Doe|sara263@mail.com|CA|613 Main St|94105|2023-04-13|false
264|Leo Doe|leo264@mail.com||545 Main St|20190|2023-06-25|Y
265|Alice White|alice265@mail.com||899 Main St|20190|2023-08-15|
266|Mike Doe|mike266@mail.com|AU|566 Main St|94105|2024-03-10|
267|Chris Lee|chris267@mail.com|US|382 Main St||2023-11-27|N
268||nina268@mail.com|AU||20190|2023-06-19|N
269|Mike Green|mike269@mail.com|AU|714 Main St|20190|2023-07-22|
270|Chris Green||AU|839 Main St||2023-08-30|Y
271|"Tom|Black"|tom271@mail.com|UK|100 Main St|ABCDE|2023-05-21|Y
272||john272@mail.com|US||94105|2023-10-16|
273|Jane White|jane273@mail.com|CA|639 Main St||2024-04-18|
274|"Sara|Doe"|sara274@mail.com|CA|785 Main St|ABCDE|2023-12-28|
275|Nina Smith|nina275@mail.com|UK|174 Main St|20190|2023-05-24|true
276|Alice Green|alice276@mail.com|AU|392 Main St|20190|2023-12-30|Y
277|Leo Green|leo277@mail.com|US|413 Main St||2023-02-11|Y
278|Tom Black|tom278@mail.com|UK|380 Main St|94105|2023-10-14|true
279|Tom Smith|tom279@mail.com|CA|88 Main St|94105|2023-01-06|true
280|"Chris|White"|chris280@mail.com|NULL|160 Main St|94105|2023-07-20|false
281|Bob White|bob281@mail.com||485 Main St||2024-05-11|
282|Raj White|raj282@mail.com|AU||94105|2024-01-30|false
283|Sara Patel|sara283@mail.com|CA||94105|2023-09-09|true
284|Bob Black|||795 Main St|20190|2023-04-17|
285|"Mike|Johnson"|mike285@mail.com|NULL|311 Main St|20190|2024-03-06|false
286|John Black||UK|779 Main St|20190|2023-08-05|true
287|Leo Green|leo287@mail.com|US|913 Main St||2023-08-31|false
288||emma288@mail.com|UK|270 Main St|ABCDE|2023-05-21|N
289|Chris Brown|chris289@mail.com|NULL|635 Main St|94105|2023-07-28|N
290|Raj Smith|raj290@mail.com|CA|12 Main St|ABCDE|2023-12-19|false
291|John Lee|john291@mail.com|US|341 Main St|ABCDE|2023-05-01|N
292|"Tom|Brown"|tom292@mail.com|US|915 Main St||2023-09-10|N
293|Nina Smith|nina293@mail.com|NULL|618 Main St|20190|2023-01-31|false
294|Nina Brown|nina294@mail.com|CA|250 Main St|94105|2023-04-21|false
295|Bob Patel||UK|263 Main St|20190|2024-04-28|true
296|Chris Smith||AU|970 Main St|20190|2023-06-27|
297|Nina Patel|nina297@mail.com||25 Main St||2024-03-26|
298|Sara Lee|sara298@mail.com||326 Main St|20190|2024-03-29|
299|Nina White|nina299@mail.com|CA|820 Main St|20190|2023-04-26|true
300|Bob Lee|bob300@mail.com||436 Main St|ABCDE|2023-01-03|
301|John White|john301@mail.com|NULL|965 Main St|20190|2023-04-18|false
302|Leo White|||18 Main St|94105|2023-12-15|N
303|John White|john303@mail.com|UK|203 Main St||2024-04-16|N
304|Mike Brown|mike304@mail.com|CA|574 Main St|ABCDE|2024-04-24|true
305||nina305@mail.com||39 Main St|ABCDE|2023-11-20|true
306|Nina Lee|nina306@mail.com|UK|328 Main St||2023-10-07|true
307|Nina Patel||NULL|518 Main St|94105|2023-08-08|Y
308||emma308@mail.com||645 Main St||2024-02-23|true
309|Sara Black|sara309@mail.com||413 Main St||2023-10-21|
310|Chris Johnson|chris310@mail.com|AU|67 Main St||2023-02-23|false
,,,
312|Leo Brown|leo312@mail.com|NULL|814 Main St|94105|2023-11-15|false
313|John Doe|john313@mail.com||488 Main St|20190|2023-07-31|false
314|Emma Doe|emma314@mail.com|AU|107 Main St||2023-02-04|N
315|Emma Brown|emma315@mail.com||832 Main St|ABCDE|2024-03-07|
316||tom316@mail.com|AU||ABCDE|2023-07-11|N
317|Nina Green|nina317@mail.com|UK||94105|2023-07-21|
318|Alice Smith|alice318@mail.com|CA|582 Main St|ABCDE|2023-02-25|true
319||emma319@mail.com|AU|395 Main St|20190|2023-05-13|
320|Raj Lee||UK||20190|2023-04-03|N
321|Tom Johnson|tom321@mail.com||672 Main St|94105|2024-01-13|N
322|Mike Black||CA|878 Main St|94105|2023-12-10|N
323|Nina Johnson||US|64 Main St|ABCDE|2024-04-28|N
324|Raj Green|raj324@mail.com|AU||20190|2023-12-06|true
325||nina325@mail.com|US|86 Main St||2023-01-01|false
326|John Green|john326@mail.com|UK|85 Main St||2023-09-07|N
327|"John|Lee"|john327@mail.com|AU|350 Main St|ABCDE|2023-03-02|true
328|Leo Brown|leo328@mail.com||||2024-02-26|
329|"Emma|Lee"|emma329@mail.com|CA|262 Main St|ABCDE|2024-01-15|N
330|Alice Brown|alice330@mail.com|US|939 Main St|94105|2024-03-18|Y
331|Tom Johnson|tom331@mail.com||476 Main St|94105|2024-04-17|N
332|"Nina|Doe"|nina332@mail.com|US|82 Main St|ABCDE|2023-02-18|true
333|Bob Smith|bob333@mail.com|NULL|925 Main St|ABCDE|2023-08-16|N
334|"Sara|Green"|sara334@mail.com|AU||94105|2024-02-28|false
335|Leo Patel|leo335@mail.com||767 Main St||2023-12-03|false
336|Nina Smith|nina336@mail.com|US|84 Main St|ABCDE|2023-06-15|false
337|Leo Black|leo337@mail.com|UK|97 Main St|94105|2023-01-28|false
338|Mike Doe|mike338@mail.com||676 Main St|94105|2024-01-26|false
339|Bob Green|bob339@mail.com|AU|488 Main St|ABCDE|2023-05-30|false
340|Tom White|tom340@mail.com|US|627 Main St|94105|2024-01-03|true
341|Sara Brown|sara341@mail.com|UK|666 Main St|20190|2023-01-21|Y
342|Tom Brown||US|536 Main St|ABCDE|2024-05-06|false
343||chris343@mail.com|NULL|335 Main St||2024-03-01|N
344|John Patel|john344@mail.com|UK|108 Main St|20190|2023-12-13|N
345|Raj Johnson|raj345@mail.com|NULL||20190|2023-10-13|Y
346|Emma Black|emma346@mail.com|NULL|534 Main St|ABCDE|2023-07-19|true
347|Leo White|leo347@mail.com|AU|308 Main St|ABCDE|2023-06-19|false
348||||94 Main St|ABCDE|2024-01-24|
349|Sara Patel|sara349@mail.com|AU||ABCDE|2024-01-30|Y
350|Jane Smith|jane350@mail.com|UK|834 Main St||2023-04-13|Y
351|Jane Black|jane351@mail.com|AU|622 Main St|ABCDE|2023-10-09|true
352|Nina Green|nina352@mail.com||692 Main St|94105|2024-04-23|N
353||chris353@mail.com|AU||94105|2024-03-08|N
354|Leo Doe|leo354@mail.com|AU|493 Main St||2023-12-10|
355|Mike Smith|mike355@mail.com|UK|650 Main St||2024-03-02|N
356|Bob Smith|bob356@mail.com|US|821 Main St|ABCDE|2023-04-09|false
357|Emma White||US|645 Main St||2023-08-01|N
358|Sara Green|sara358@mail.com|UK|346 Main St|20190|2023-05-24|N
359||raj359@mail.com|AU||ABCDE|2024-01-31|
360|"Tom|Brown"|tom360@mail.com|NULL|216 Main St|ABCDE|2023-08-30|N
361|Emma Johnson|emma361@mail.com|NULL|741 Main St|ABCDE|2023-06-28|N
362|Chris Brown|chris362@mail.com|US|338 Main St|94105|2023-10-23|false
363|Mike Johnson||CA|446 Main St|20190|2023-09-12|
364|"Raj|Doe"|raj364@mail.com|US|959 Main St||2023-07-10|N
365|Leo Brown|leo365@mail.com|||20190|2023-07-17|true
366|Alice White|alice366@mail.com|NULL|100 Main St|94105|2023-03-30|Y
367||john367@mail.com||163 Main St|ABCDE|2023-02-26|true
368|Bob Black|bob368@mail.com|CA|435 Main St|94105|2023-04-22|
369|Nina Patel|nina369@mail.com|CA|386 Main St|20190|2023-05-17|
370||chris370@mail.com|UK|163 Main St|94105|2023-06-14|Y
371||nina371@mail.com|US|507 Main St|ABCDE|2024-02-23|true
372|Bob Johnson|bob372@mail.com|UK|318 Main St|ABCDE|2023-12-05|false
373||emma373@mail.com|NULL|591 Main St|20190|2024-01-20|Y
374|Mike Patel|mike374@mail.com|US|503 Main St|94105|2024-02-06|false
375|John White||NULL|45 Main St|94105|2023-08-07|N
376|Emma Lee|emma376@mail.com|AU|672 Main St|94105|2023-09-06|false
377|Jane Lee|jane377@mail.com|||ABCDE|2023-03-02|
378|Emma Patel|emma378@mail.com||3 Main St|ABCDE|2023-07-27|Y
379|John Patel|john379@mail.com|AU|433 Main St|ABCDE|2023-12-15|true
380|Tom Green||US|304 Main St|ABCDE|2023-12-30|
381|John Doe|john381@mail.com|US|||2023-09-10|true
382|Alice Doe|alice382@mail.com|NULL|339 Main St||2023-04-04|Y
383|Tom White|tom383@mail.com||||2023-08-22|
384|Alice White|alice384@mail.com|NULL|309 Main St|94105|2023-03-09|Y
385|Tom Johnson|tom385@mail.com|NULL|920 Main St|94105|2024-01-26|N
386|Chris Black|chris386@mail.com||925 Main St||2023-07-13|Y
387|Sara White|sara387@mail.com|US|993 Main St|20190|2024-04-06|N
388|John Green|john388@mail.com||82 Main St|94105|2023-06-23|false
389|Leo Black|leo389@mail.com|AU|693 Main St|94105|2024-01-11|Y
390|Tom White||UK|694 Main St|ABCDE|2024-03-01|false
391||emma391@mail.com|NULL|437 Main St|ABCDE|2024-05-06|true
392|John Brown||CA|582 Main St|94105|2023-06-28|true
393|Raj Doe|raj393@mail.com|CA|55 Main St|94105|2024-01-06|N
394|Sara Black|sara394@mail.com|UK|876 Main St|94105|2023-11-22|false
395|Mike Johnson|mike395@mail.com|US|482 Main St||2024-04-05|
396|Nina Black|nina396@mail.com|US|262 Main St|94105|2024-01-09|
397||emma397@mail.com|UK||ABCDE|2024-03-12|
398|"Jane|Johnson"|jane398@mail.com|UK|359 Main St|94105|2024-02-25|
399|Tom Smith|tom399@mail.com|UK|688 Main St|94105|2023-02-28|true
400|John Brown|john400@mail.com|CA|408 Main St|20190|2023-10-04|N
401|Emma Doe|emma401@mail.com|UK|890 Main St|ABCDE|2023-03-23|
402|"Nina|Patel"|nina402@mail.com|UK|564 Main St|94105|2023-04-15|Y
403||raj403@mail.com|AU||ABCDE|2023-01-12|N
404|Sara White|sara404@mail.com|NULL|720 Main St|20190|2024-02-07|N
