customer_id,first_name,last_name,email,phone,signup_ts,status,loyalty_points
"unterminated,quote,here
36,Alice,Johnson,alice36@ex.com,703-555-4941,2023-05-30T00:00:00,,105
37,,,mike37@ex.com,703-555-2977,2024-02-15T00:00:00,active,1988
38,Nina,Patel,nina38@ex.com,703-555-5102,2023-09-07T00:00:00,inactive,1875
39,Alice,Lee,alice39@ex.com,703-555-3423,2023-04-23T00:00:00,,347
40,Tom,,tom40@ex.com,703-555-1234,2024-03-18T00:00:00,pending,1856
41,Raj,Black,,703-555-3206,,inactive,1845
42,Sara,Black,sara42@ex.com,703-555-7664,2023-07-25T00:00:00,,1610
43,,Johnson,,703-555-9350,2023-10-30T00:00:00,,523
44,Alice,Johnson,alice44@ex.com,,,active,1728
45,,Lee,john45@ex.com,703-555-6070,2023-05-31T00:00:00,,302
46,John,Johnson,,,2023-02-12T00:00:00,,1052
47,Jane,Johnson,jane47@ex.com,703-555-8780,2023-06-06T00:00:00,active,
48,Bob,Black,bob48@ex.com,703-555-5858,,inactive,
49,,Patel,emma49@ex.com,703-555-5162,,,1825
50,Alice,,,703-555-4517,2024-02-27T00:00:00,active,
51,Chris,Doe,chris51@ex.com,,2023-10-30T00:00:00,active,672
52,Sara,Johnson,sara52@ex.com,703-555-9387,2024-03-18T00:00:00,,1243
53,Tom,Green,tom53@ex.com,703-555-9839,2024-02-12T00:00:00,inactive,301
54,,Green,emma54@ex.com,703-555-9613,2024-03-21T00:00:00,active,822
55,Bob,Lee,bob55@ex.com,,2023-09-10T00:00:00,active,752
56,Jane,White,jane56@ex.com,703-555-4640,2023-01-17T00:00:00,pending,
57,Bob,White,bob57@ex.com,703-555-9850,2024-01-09T00:00:00,pending,1634
58,Emma,Johnson,emma58@ex.com,,2023-01-04T00:00:00,active,912
59,Emma,Doe,emma59@ex.com,703-555-9117,2023-12-31T00:00:00,active,815
60,,Green,jane60@ex.com,,,pending,74
61,,Smith,emma61@ex.com,703-555-7910,2023-12-18T00:00:00,inactive,1286
62,,Lee,alice62@ex.com,703-555-7746,2023-11-26T00:00:00,,1404
63,Nina,,,703-555-8647,2023-03-20T00:00:00,active,
64,Leo,Smith,leo64@ex.com,703-555-3531,2023-05-18T00:00:00,,1032
65,Raj,Lee,raj65@ex.com,703-555-9175,2023-04-22T00:00:00,inactive,531
66,Leo,Green,leo66@ex.com,703-555-5961,,inactive,1768
67,Mike,Smith,mike67@ex.com,703-555-7446,2023-12-30T00:00:00,,1714
68,Tom,,tom68@ex.com,703-555-5692,2023-09-14T00:00:00,active,
69,Tom,Johnson,,,2024-03-26T00:00:00,pending,1638
70,Tom,White,tom70@ex.com,703-555-9740,2023-10-27T00:00:00,active,889
71,Nina,Black,,703-555-7891,2023-07-31T00:00:00,active,1457
72,Nina,Johnson,nina72@ex.com,703-555-4835,2023-03-07T00:00:00,,1164
73,Tom,Brown,tom73@ex.com,703-555-3473,2023-05-04T00:00:00,,1855
74,John,Lee,john74@ex.com,703-555-6015,2024-04-29T00:00:00,inactive,1665
75,,Black,jane75@ex.com,703-555-1492,2023-10-02T00:00:00,pending,45
76,Jane,Green,jane76@ex.com,703-555-8801,2023-09-28T00:00:00,inactive,1298
77,Tom,Johnson,tom77@ex.com,703-555-3201,2023-11-19T00:00:00,active,1341
78,,Johnson,alice78@ex.com,703-555-3418,2024-03-25T00:00:00,active,932
"unterminated,quote,here
80,Alice,,alice80@ex.com,703-555-1253,2023-11-05T00:00:00,,369
81,Bob,Green,bob81@ex.com,703-555-1527,2023-01-29T00:00:00,,1539
82,Leo,Lee,leo82@ex.com,703-555-6460,2023-02-17T00:00:00,inactive,
83,John,,john83@ex.com,703-555-4125,2023-01-02T00:00:00,active,621
84,Alice,Johnson,alice84@ex.com,703-555-3725,2023-09-28T00:00:00,active,867
85,Bob,,bob85@ex.com,703-555-1366,2023-09-04T00:00:00,,1023
86,,Johnson,,703-555-3089,2023-06-09T00:00:00,pending,
87,Sara,Johnson,,703-555-7504,2024-05-10T00:00:00,inactive,1163
88,,Black,,703-555-7223,2023-10-03T00:00:00,active,
89,,Green,,703-555-8103,,,1220
90,Alice,Brown,alice90@ex.com,703-555-6373,2023-01-12T00:00:00,active,426
91,Sara,Green,sara91@ex.com,,2024-01-22T00:00:00,,1663
92,Sara,Patel,,,2024-02-25T00:00:00,,639
93,,Johnson,jane93@ex.com,703-555-1900,2024-05-07T00:00:00,,
94,John,Black,john94@ex.com,703-555-2580,2023-10-03T00:00:00,,1946
95,Chris,White,chris95@ex.com,703-555-3810,2023-03-24T00:00:00,active,
96,Leo,Lee,,,2024-04-05T00:00:00,pending,
97,Chris,,chris97@ex.com,703-555-2450,2024-04-20T00:00:00,,897
98,Bob,Smith,bob98@ex.com,,2023-03-08T00:00:00,active,
99,Sara,,sara99@ex.com,703-555-1745,2023-01-23T00:00:00,pending,144
100,Sara,White,sara100@ex.com,703-555-6072,2023-06-17T00:00:00,active,
101,Jane,Green,,703-555-8645,2023-02-25T00:00:00,,425
102,Alice,Doe,alice102@ex.com,703-555-1235,2024-01-03T00:00:00,active,
103,Sara,Black,sara103@ex.com,703-555-8760,2024-05-06T00:00:00,,240
104,Mike,,mike104@ex.com,703-555-3081,,pending,1941
105,Alice,Black,,703-555-8312,2023-03-09T00:00:00,pending,492
106,Jane,Brown,jane106@ex.com,,2023-12-15T00:00:00,,887
107,Sara,Green,sara107@ex.com,,2023-11-16T00:00:00,,537
108,Jane,Lee,jane108@ex.com,703-555-8099,2023-01-05T00:00:00,active,1694
109,Leo,Green,leo109@ex.com,703-555-9449,2023-08-14T00:00:00,inactive,340
110,Mike,Green,mike110@ex.com,703-555-3048,2024-01-05T00:00:00,active,984
111,John,Lee,john111@ex.com,703-555-4633,2024-05-11T00:00:00,,756
112,Raj,White,raj112@ex.com,703-555-4061,,active,1187
113,Leo,Johnson,leo113@ex.com,703-555-7324,2023-07-01T00:00:00,,1270
114,,Green,,,2023-11-05T00:00:00,active,66
115,Nina,Patel,nina115@ex.com,703-555-2841,2024-03-08T00:00:00,active,47
116,Chris,Smith,chris116@ex.com,703-555-5731,2024-02-04T00:00:00,pending,672
117,Raj,White,raj117@ex.com,703-555-1661,,pending,816
118,Sara,Johnson,sara118@ex.com,703-555-2493,2023-10-12T00:00:00,pending,
119,John,Green,,703-555-8454,2023-08-05T00:00:00,,662
120,Nina,Black,nina120@ex.com,703-555-6014,2023-11-24T00:00:00,inactive,476
121,Raj,Smith,raj121@ex.com,703-555-6752,2024-03-24T00:00:00,pending,33
122,Tom,Green,,,2023-08-20T00:00:00,inactive,1676
123,Bob,Doe,bob123@ex.com,703-555-8427,2024-05-10T00:00:00,inactive,122
124,Leo,Johnson,leo124@ex.com,703-555-7952,2023-04-19T00:00:00,active,1315
125,Tom,Smith,tom125@ex.com,703-555-3682,2024-03-27T00:00:00,,652
126,Chris,Lee,chris126@ex.com,,2024-02-10T00:00:00,,
127,Emma,,,,2023-09-29T00:00:00,pending,361
128,Nina,Johnson,,703-555-1552,2023-08-16T00:00:00,active,678
123|MISMATCH|EXTRA|COLS|HERE|oops
130,Mike,Brown,mike130@ex.com,703-555-6702,2023-12-01T00:00:00,active,16
131,Tom,,tom131@ex.com,703-555-3655,2023-08-07T00:00:00,,276
132,Jane,Brown,jane132@ex.com,703-555-7527,2023-07-15T00:00:00,inactive,1137
133,Jane,Black,jane133@ex.com,703-555-1162,,pending,1926
134,,Black,emma134@ex.com,703-555-7018,2023-04-08T00:00:00,active,1648
135,Nina,Black,nina135@ex.com,703-555-4442,2023-09-09T00:00:00,,1212
136,John,Johnson,john136@ex.com,703-555-2848,2023-09-20T00:00:00,inactive,1734
137,Sara,Smith,sara137@ex.com,703-555-3309,2024-02-05T00:00:00,inactive,1025
138,Tom,Smith,tom138@ex.com,703-555-8362,2024-04-18T00:00:00,pending,
139,Nina,White,,703-555-4031,,,1610
140,Mike,Patel,mike140@ex.com,703-555-1196,2023-02-24T00:00:00,inactive,764
141,,Brown,nina141@ex.com,703-555-1441,2024-01-24T00:00:00,inactive,166
142,Bob,Doe,bob142@ex.com,,,,82
143,Alice,White,alice143@ex.com,703-555-3847,2023-10-22T00:00:00,,123
144,Raj,Green,raj144@ex.com,703-555-9944,2023-10-15T00:00:00,active,1709
145,Emma,Doe,emma145@ex.com,703-555-6802,2023-07-24T00:00:00,,671
146,Alice,Johnson,alice146@ex.com,,2024-01-06T00:00:00,active,525
147,Emma,Brown,emma147@ex.com,703-555-2718,2023-11-19T00:00:00,,940
148,Mike,Green,mike148@ex.com,703-555-7336,2024-03-10T00:00:00,inactive,
149,Nina,,nina149@ex.com,703-555-4932,2023-08-14T00:00:00,,554
150,Bob,Lee,bob150@ex.com,703-555-7261,2023-11-16T00:00:00,,
151,John,Black,john151@ex.com,703-555-6405,2024-05-12T00:00:00,inactive,
152,Raj,Johnson,raj152@ex.com,703-555-8037,,inactive,1041
153,Jane,Johnson,,703-555-4564,,pending,
154,Raj,White,raj154@ex.com,703-555-1244,2023-07-03T00:00:00,inactive,155
155,Bob,Lee,bob155@ex.com,703-555-6578,2023-01-12T00:00:00,,817
156,Chris,White,chris156@ex.com,703-555-9425,,,1564
157,Alice,Green,alice157@ex.com,703-555-5444,2023-09-09T00:00:00,,523
158,John,Black,john158@ex.com,703-555-3849,2023-03-22T00:00:00,pending,673
159,Raj,Smith,raj159@ex.com,703-555-4413,2023-02-11T00:00:00,active,1139
160,Sara,,sara160@ex.com,,2024-04-26T00:00:00,,1276
161,Emma,Doe,emma161@ex.com,703-555-7232,2024-03-15T00:00:00,active,1226
162,Chris,Doe,chris162@ex.com,703-555-9118,2024-04-09T00:00:00,pending,1472
163,Leo,Black,leo163@ex.com,703-555-8748,,,
164,,Patel,leo164@ex.com,703-555-4303,2024-03-08T00:00:00,pending,347
165,Chris,White,chris165@ex.com,703-555-4114,2023-05-28T00:00:00,active,1912
166,Bob,Green,bob166@ex.com,703-555-4832,2023-04-20T00:00:00,inactive,774
167,Chris,Brown,chris167@ex.com,703-555-2196,2023-05-18T00:00:00,active,357
168,Bob,Johnson,bob168@ex.com,703-555-6080,,active,1699
169,Alice,White,alice169@ex.com,703-555-2827,2023-09-12T00:00:00,active,1142
170,Alice,Lee,alice170@ex.com,703-555-6974,2023-09-12T00:00:00,pending,676
171,,Green,tom171@ex.com,703-555-5165,,pending,1698
172,Emma,Johnson,emma172@ex.com,703-555-9053,2023-09-16T00:00:00,,1415
173,Bob,Brown,bob173@ex.com,,,active,26
174,Sara,Doe,sara174@ex.com,,2023-12-07T00:00:00,active,1581
175,Nina,Smith,nina175@ex.com,703-555-6548,,active,
176,Tom,,tom176@ex.com,703-555-3070,2023-01-24T00:00:00,pending,1194
177,,Doe,raj177@ex.com,703-555-3333,2023-09-13T00:00:00,pending,1064
178,Bob,Green,bob178@ex.com,703-555-7546,2023-07-13T00:00:00,active,
179,,Brown,sara179@ex.com,703-555-5957,2023-12-31T00:00:00,,1412
180,Raj,,raj180@ex.com,703-555-9779,2023-11-04T00:00:00,pending,924
181,Jane,Smith,jane181@ex.com,703-555-9864,2024-01-03T00:00:00,,
182,Leo,Black,leo182@ex.com,703-555-3605,2024-01-01T00:00:00,pending,671
183,,,raj183@ex.com,703-555-3104,,inactive,1216
184,Bob,Brown,bob184@ex.com,703-555-1969,2024-04-06T00:00:00,,76
185,Bob,,bob185@ex.com,703-555-6602,2023-09-07T00:00:00,inactive,1821
186,Jane,Green,jane186@ex.com,703-555-7036,2024-04-01T00:00:00,active,1485
187,Emma,Brown,,703-555-3507,2023-05-20T00:00:00,pending,126
188,,Patel,raj188@ex.com,703-555-2741,2023-02-07T00:00:00,active,1209
189,Mike,Lee,mike189@ex.com,703-555-9829,2023-07-29T00:00:00,,1823
190,Raj,Black,raj190@ex.com,703-555-4804,2023-05-30T00:00:00,,1866
191,Sara,Johnson,sara191@ex.com,703-555-7082,2023-10-26T00:00:00,inactive,1303
192,Jane,Doe,,703-555-1019,2023-08-14T00:00:00,,
193,Leo,Smith,leo193@ex.com,703-555-2630,,,853
194,,Black,alice194@ex.com,703-555-1834,2024-05-14T00:00:00,,1583
195,Tom,Black,tom195@ex.com,,2024-01-31T00:00:00,active,766
196,Raj,Smith,raj196@ex.com,703-555-6623,2023-05-08T00:00:00,inactive,1885
197,Emma,Patel,,703-555-5863,2024-02-02T00:00:00,inactive,1106
198,John,Lee,john198@ex.com,703-555-1811,2024-03-20T00:00:00,,539
199,Jane,Green,jane199@ex.com,703-555-9750,2023-04-06T00:00:00,pending,1620
200,Bob,Black,bob200@ex.com,703-555-6835,2024-04-10T00:00:00,pending,1430
201,Chris,Johnson,,703-555-7866,2023-11-01T00:00:00,inactive,922
202,Mike,White,mike202@ex.com,703-555-9527,2023-09-27T00:00:00,pending,1195
203,Sara,Johnson,sara203@ex.com,703-555-5659,2023-08-14T00:00:00,active,416
204,Chris,Green,chris204@ex.com,703-555-6629,2023-07-03T00:00:00,,
205,,Lee,tom205@ex.com,703-555-4763,2023-08-19T00:00:00,,1079
206,Alice,Black,alice206@ex.com,703-555-5809,2024-02-13T00:00:00,pending,437
207,Bob,Green,bob207@ex.com,703-555-1446,,inactive,1648
208,Tom,Brown,tom208@ex.com,703-555-3302,,,1450
209,Nina,Patel,,,2023-01-29T00:00:00,,1231
210,,White,mike210@ex.com,,2023-05-09T00:00:00,inactive,1442
211,,Smith,tom211@ex.com,703-555-3435,2023-07-31T00:00:00,inactive,1832
212,Raj,Smith,,703-555-2973,2023-04-10T00:00:00,active,1396
213,Bob,,bob213@ex.com,703-555-7183,2023-03-14T00:00:00,active,26
214,Alice,,,703-555-7030,2023-03-10T00:00:00,pending,
215,Chris,Doe,chris215@ex.com,,2023-04-24T00:00:00,,
216,Raj,Johnson,,,2023-03-24T00:00:00,pending,
217,Bob,Smith,,703-555-4981,2024-03-04T00:00:00,inactive,369
218,Jane,White,jane218@ex.com,703-555-4909,2023-05-04T00:00:00,active,
219,Emma,White,emma219@ex.com,703-555-3609,2023-01-12T00:00:00,,415
220,Chris,Patel,chris220@ex.com,703-555-8428,,inactive,1830
221,,Johnson,tom221@ex.com,703-555-6799,2024-03-30T00:00:00,active,
222,Chris,Lee,chris222@ex.com,703-555-4114,2024-01-30T00:00:00,active,1882
223,,Smith,mike223@ex.com,703-555-1090,2023-09-27T00:00:00,inactive,1548
224,Emma,Patel,emma224@ex.com,703-555-9561,2024-01-03T00:00:00,,1981
225,Tom,Smith,,703-555-9322,2023-12-28T00:00:00,,1981
226,Chris,Green,chris226@ex.com,703-555-5802,2023-02-23T00:00:00,pending,
227,Emma,Brown,emma227@ex.com,703-555-4578,2023-10-23T00:00:00,pending,619
228,John,White,john228@ex.com,,2023-10-26T00:00:00,pending,911
229,Bob,Green,bob229@ex.com,703-555-1472,,,616
230,Emma,Patel,emma230@ex.com,703-555-4472,2023-12-04T00:00:00,active,485
231,Raj,Black,raj231@ex.com,703-555-1503,,inactive,1479
232,John,Johnson,john232@ex.com,703-555-7224,,,1620
233,Bob,Lee,,,2024-01-12T00:00:00,inactive,192
234,Mike,Smith,mike234@ex.com,703-555-3678,2023-05-20T00:00:00,inactive,352
235,Mike,Lee,mike235@ex.com,703-555-5828,2023-07-13T00:00:00,active,1542
236,Bob,Patel,bob236@ex.com,703-555-8479,2023-04-24T00:00:00,inactive,572
237,Chris,Doe,,,2023-04-04T00:00:00,,1378
238,,Green,tom238@ex.com,703-555-5112,2024-01-18T00:00:00,active,1199
239,Mike,Patel,,703-555-7486,,,1764
240,,Brown,emma240@ex.com,703-555-2739,2024-01-28T00:00:00,inactive,418
241,Raj,Smith,raj241@ex.com,,2023-11-13T00:00:00,,1529
242,Bob,Lee,bob242@ex.com,703-555-6480,2023-02-07T00:00:00,inactive,593
243,Alice,Patel,alice243@ex.com,703-555-2076,2023-09-27T00:00:00,inactive,1617
244,Bob,Johnson,bob244@ex.com,703-555-1670,2023-08-20T00:00:00,,1154
245,,,leo245@ex.com,703-555-5527,,,228
246,Chris,Black,chris246@ex.com,703-555-9001,2023-08-15T00:00:00,pending,
247,Jane,Lee,jane247@ex.com,,2023-09-17T00:00:00,,811
248,Emma,,,703-555-8429,2024-01-12T00:00:00,pending,433
249,,,emma249@ex.com,703-555-7220,2023-08-14T00:00:00,,1706
250,Sara,Black,,703-555-6334,2023-12-11T00:00:00,pending,106
251,Nina,Brown,nina251@ex.com,703-555-5587,,active,260
252,Mike,,mike252@ex.com,,2023-10-10T00:00:00,pending,797
253,Tom,Lee,tom253@ex.com,,2023-08-03T00:00:00,inactive,547
254,Chris,Green,,,,,940
255,,Smith,leo255@ex.com,703-555-4262,2024-02-10T00:00:00,pending,1067
256,,Patel,nina256@ex.com,703-555-4852,,pending,948
257,Jane,Johnson,,703-555-1943,2023-01-07T00:00:00,active,124
258,Chris,Johnson,,703-555-6613,2023-09-06T00:00:00,inactive,76
259,Leo,Patel,leo259@ex.com,703-555-4078,2024-04-01T00:00:00,pending,1187
260,Tom,Doe,tom260@ex.com,703-555-2033,2023-04-13T00:00:00,inactive,1890
261,Chris,Lee,chris261@ex.com,703-555-3645,,inactive,1120
262,Mike,Black,mike262@ex.com,,2023-12-31T00:00:00,active,789
263,,Doe,sara263@ex.com,703-555-1488,2023-08-03T00:00:00,active,1274
264,Chris,,chris264@ex.com,703-555-1820,2023-07-26T00:00:00,active,1761
265,,Johnson,chris265@ex.com,703-555-5756,2024-01-14T00:00:00,,1663
266,Alice,Doe,,,,pending,191
267,Alice,Doe,,,2023-06-27T00:00:00,inactive,722
268,Raj,,raj268@ex.com,703-555-4700,,inactive,879
269,Mike,,mike269@ex.com,703-555-1058,2024-04-04T00:00:00,,1920
270,Raj,Patel,raj270@ex.com,,2023-03-07T00:00:00,inactive,1780
271,Raj,Johnson,raj271@ex.com,703-555-9413,2023-12-14T00:00:00,,
272,Tom,Johnson,tom272@ex.com,703-555-1060,2023-03-20T00:00:00,pending,633
273,,Black,jane273@ex.com,703-555-7767,2023-09-18T00:00:00,inactive,238
274,Alice,Green,alice274@ex.com,,2023-11-27T00:00:00,inactive,234
275,Mike,,mike275@ex.com,703-555-9314,2023-08-26T00:00:00,,1308
276,Mike,Patel,mike276@ex.com,703-555-5526,2023-06-13T00:00:00,pending,814
277,,Black,sara277@ex.com,703-555-7611,,,1715
278,Mike,Johnson,mike278@ex.com,703-555-7195,2024-03-05T00:00:00,pending,1104
279,Mike,Black,mike279@ex.com,703-555-9725,2023-11-23T00:00:00,,
280,Sara,Patel,sara280@ex.com,703-555-4649,2023-05-08T00:00:00,active,
281,Alice,,alice281@ex.com,703-555-7782,2023-04-10T00:00:00,,1264
282,Bob,Black,bob282@ex.com,703-555-9967,2023-12-11T00:00:00,,1861
283,Tom,Smith,,703-555-6084,,inactive,1392
284,John,Doe,,703-555-7715,2023-07-02T00:00:00,inactive,288
285,Leo,Green,leo285@ex.com,703-555-3878,2023-02-23T00:00:00,,1460
286,,Doe,emma286@ex.com,703-555-5310,2023-12-17T00:00:00,active,1176
287,,Johnson,nina287@ex.com,703-555-7302,2024-04-03T00:00:00,inactive,1157
288,Mike,,mike288@ex.com,,2023-11-23T00:00:00,active,1933
289,,Patel,,703-555-8488,2024-05-05T00:00:00,inactive,1477
290,,Green,jane290@ex.com,,,,971
291,Bob,Smith,,703-555-9821,2023-11-06T00:00:00,,892
292,Sara,Black,sara292@ex.com,703-555-9832,2023-10-27T00:00:00,,
293,Jane,Smith,jane293@ex.com,,2024-02-21T00:00:00,,1053
294,Jane,Patel,,703-555-4442,2023-11-16T00:00:00,pending,1356
295,Jane,Brown,jane295@ex.com,703-555-2504,2023-02-20T00:00:00,active,443
296,John,Doe,,703-555-6773,2023-02-21T00:00:00,active,984
297,Chris,Johnson,chris297@ex.com,,2023-12-28T00:00:00,pending,1228
298,Jane,Smith,jane298@ex.com,703-555-9702,,inactive,522
299,Tom,Johnson,tom299@ex.com,703-555-4708,2023-03-08T00:00:00,active,1430
300,Raj,,raj300@ex.com,703-555-6563,2023-08-25T00:00:00,inactive,1435
301,Sara,,,703-555-8512,2023-07-15T00:00:00,inactive,1019
302,Chris,Patel,chris302@ex.com,703-555-4111,2024-02-06T00:00:00,pending,
303,Tom,Doe,tom303@ex.com,,,inactive,
304,Nina,White,nina304@ex.com,703-555-7052,2023-10-22T00:00:00,inactive,1752
305,Nina,Brown,nina305@ex.com,703-555-5136,2024-02-17T00:00:00,active,414
306,Tom,Black,tom306@ex.com,703-555-3646,2023-04-11T00:00:00,inactive,1152
307,,Patel,alice307@ex.com,703-555-9139,2023-01-04T00:00:00,pending,729
308,Chris,Johnson,chris308@ex.com,703-555-4889,2023-06-08T00:00:00,,
309,,Green,nina309@ex.com,703-555-5060,2023-08-08T00:00:00,,1589
310,Jane,Green,,703-555-4905,2024-02-18T00:00:00,inactive,1497
311,,Brown,jane311@ex.com,703-555-2204,2023-11-11T00:00:00,active,131
312,Leo,Johnson,leo312@ex.com,703-555-9586,2024-02-05T00:00:00,pending,
313,Bob,,bob313@ex.com,703-555-9423,2023-06-10T00:00:00,pending,
314,Alice,Green,alice314@ex.com,703-555-4761,2023-06-23T00:00:00,active,124
315,,Doe,,703-555-5327,2023-01-14T00:00:00,pending,356
316,Raj,Smith,raj316@ex.com,703-555-1489,,,219
317,Mike,Patel,mike317@ex.com,703-555-2154,,,1872
318,Mike,White,mike318@ex.com,703-555-4367,2023-07-11T00:00:00,inactive,738
319,Mike,Green,mike319@ex.com,703-555-8970,,,1960
320,Nina,Doe,nina320@ex.com,703-555-2694,2024-02-15T00:00:00,,
321,Raj,Lee,raj321@ex.com,703-555-5403,2023-12-14T00:00:00,,1778
322,Bob,,bob322@ex.com,703-555-3413,2023-01-23T00:00:00,,1303
323,Chris,,chris323@ex.com,703-555-2269,,pending,717
324,Bob,Brown,,,2023-10-02T00:00:00,inactive,
325,John,Brown,john325@ex.com,703-555-1879,2023-09-09T00:00:00,inactive,685
326,Mike,Lee,mike326@ex.com,703-555-6731,2024-01-03T00:00:00,,145
327,,,emma327@ex.com,703-555-8852,2024-04-21T00:00:00,,1976
328,Chris,White,,703-555-8354,2023-09-15T00:00:00,inactive,1802
329,Bob,Smith,,703-555-4210,2024-04-03T00:00:00,,289
330,Alice,Black,alice330@ex.com,703-555-6409,2023-09-14T00:00:00,active,976
331,Alice,Smith,alice331@ex.com,703-555-4303,2023-02-09T00:00:00,active,1379
332,Leo,Smith,,703-555-1484,2023-09-16T00:00:00,inactive,1274
333,Mike,White,,,2023-10-18T00:00:00,active,1134
334,,Patel,leo334@ex.com,703-555-8362,2023-01-09T00:00:00,inactive,1586
335,,Brown,,703-555-6418,2023-12-11T00:00:00,,1731
336,John,Green,john336@ex.com,703-555-1315,,inactive,
337,,Lee,alice337@ex.com,,,,
338,Tom,,tom338@ex.com,703-555-8635,2024-05-02T00:00:00,inactive,1201
339,Jane,Black,jane339@ex.com,,2023-04-30T00:00:00,,1406
340,Alice,Lee,alice340@ex.com,703-555-3151,2023-04-16T00:00:00,inactive,951
341,Leo,,leo341@ex.com,703-555-8330,2024-03-14T00:00:00,inactive,
342,Jane,,jane342@ex.com,703-555-4535,2024-01-28T00:00:00,inactive,1679
343,Chris,Brown,chris343@ex.com,703-555-6046,2023-07-29T00:00:00,active,558
344,Tom,Lee,tom344@ex.com,703-555-5097,2023-10-22T00:00:00,,
345,,Doe,sara345@ex.com,703-555-1683,2023-08-31T00:00:00,pending,
346,Tom,Green,tom346@ex.com,703-555-7744,2024-03-21T00:00:00,pending,
347,Sara,Patel,sara347@ex.com,703-555-7187,2023-10-23T00:00:00,pending,771
348,,,,703-555-3190,2023-04-26T00:00:00,active,527
349,Bob,Patel,bob349@ex.com,,,,756
350,,Green,,703-555-3881,2024-01-31T00:00:00,,
351,Bob,Lee,bob351@ex.com,703-555-9017,,inactive,
352,Tom,White,tom352@ex.com,703-555-4052,,active,1095
353,Jane,,jane353@ex.com,703-555-8162,,,457
354,Nina,White,nina354@ex.com,,2023-09-25T00:00:00,active,1365
355,,,jane355@ex.com,703-555-9082,2023-03-29T00:00:00,,874
356,Mike,Patel,mike356@ex.com,703-555-9817,2024-04-18T00:00:00,inactive,1858
357,Raj,Lee,raj357@ex.com,703-555-8716,2023-06-09T00:00:00,inactive,
358,Emma,Patel,emma358@ex.com,703-555-8568,2023-12-12T00:00:00,inactive,
359,Leo,Patel,,703-555-4270,2023-04-04T00:00:00,,1381
360,Leo,Brown,leo360@ex.com,703-555-4313,2024-02-04T00:00:00,active,1327
361,Mike,Doe,mike361@ex.com,,,pending,
362,Raj,Doe,raj362@ex.com,703-555-8957,2024-02-19T00:00:00,,588
363,Emma,Black,,703-555-3428,2023-11-24T00:00:00,inactive,1067
364,Nina,Black,nina364@ex.com,703-555-1435,2023-08-25T00:00:00,pending,
365,,Johnson,,703-555-2255,,active,271
366,John,Smith,,703-555-2886,2023-04-24T00:00:00,,1935
367,Emma,,emma367@ex.com,703-555-3917,2024-02-12T00:00:00,active,280
368,,Smith,bob368@ex.com,703-555-9029,2023-06-02T00:00:00,active,1595
