id	fname	lname	signup_date	age	marketing_opt_in
608	Emma	Doe	2023-02-28	unknown	false
609	Bob	Black	2023-07-13	70	true
610	Mike	Green	2023-06-03	41	
611	Sara	Lee	2023-02-13	61	false
612	Leo	Lee			false
613	Nina	Johnson	2024-03-21		true
614	John	Lee	2023-06-21		
615		White	2023-05-07		0
616	Chris	Green	2023-05-15		false
617	Sara	Patel	2024-04-21		1
618	Raj	Lee	2023-06-13	56	
619	John		2024-02-06	35	0
620	Leo	Green	2024-04-16	45	1
621	Tom	Green	2024-04-29	79	0
622	Emma	Johnson	2023-07-07		false	extra_col
623		White	2023-05-09	24	1
624	Leo	Lee	2023-10-20	78	
625		Johnson			false
626	John	Black	2023-03-28	unknown	true
627	Raj	Doe	2023-04-05		0
628	Alice	Lee	2023-01-02	unknown	true
629		Johnson	2023-11-09		false
630	Nina	Brown	2023-08-05		
631	Tom	Green	2023-06-28		1
632	Alice		2023-04-12	66	true	extra_col
633	Leo	Lee	2023-07-24	48	
634	Tom	Green	2023-05-24		false
635		Doe	2023-03-21	unknown	true
636	Mike	Smith		50	1
637	Sara	Brown	2023-02-04		
638	John	Smith		37	true
639			2023-05-19		0
640	John	Smith	2024-04-06	68	1	extra_col
641	Sara	Green	2023-03-29		
642	Alice	Lee	2024-03-29		false
643		Johnson	2024-02-09	unknown	
644	Tom	Johnson	2023-11-11		true
645		Smith	2023-04-19	unknown	1
646	Mike	Lee			true
647	Mike	Lee	2024-03-08	28	1
648	Alice	Lee	2023-08-01		true
649	Leo	Green	2023-04-14	unknown	0
650	Chris	Brown	2023-11-08	unknown	true	extra_col
651	Jane	Doe	2024-02-11	78	true	extra_col
652	John	Smith	2024-04-22		false
653	Chris	Black	2023-02-21		0
654	Nina	Patel	2023-01-03		
655	Bob	Patel	2024-01-19		
656	Leo	Lee	2023-12-22		0	extra_col
657	Leo	Patel	2023-06-03		false
658	Mike	Black	2023-07-31	unknown	
659	Chris		2023-05-27		
660	Raj	White	2023-03-14	25	true
661	Leo	Doe	2023-03-02	unknown	false
662	Jane		2023-06-12	unknown	false
663		White	2024-03-23		false
664	Sara	Doe	2023-09-11	unknown	false
665	John	White	2023-02-13		0
666	Tom		2023-05-06	unknown	1
667	Alice	White	2023-01-21	47	
123|MISMATCH|EXTRA|COLS|HERE|oops
669	Tom		2023-04-09	unknown	
670	Raj	Green			false
671	Tom	Smith	2023-06-02		1
672	Nina	Green	2023-02-17	unknown	
673	John	Green	2023-08-24	71	0
674	Raj	White	2023-08-09	39	1
675	Tom	Doe	2023-03-25	53	false
676	Emma		2023-08-03	57	false	extra_col
677	Sara	Lee	2023-08-23	unknown	0
678	Mike	Green	2023-05-11	30		extra_col
679	Raj	Smith		43	0
680	Bob	Smith		51	true
681	Mike	Green	2023-10-09		
682	Alice	Brown	2024-02-12		0
683	Chris	Green			true
684	Tom	Green	2023-03-25	unknown	0
"unterminated,quote,here
686	Raj	Lee		unknown	false
687	Nina	Green	2023-04-03		true
688	Raj	Patel	2024-02-22	unknown	
689	Leo	Lee	2023-06-22	28	
690		Black	2023-12-28	unknown	0
691	Raj	Doe	2023-01-24		1	extra_col
692	Chris		2024-02-01	unknown	
693	Alice	Lee	2024-01-12	unknown	true
694	Leo	Brown	2023-01-28	unknown	0
695		Lee	2023-06-28	unknown	
696	Tom	White	2023-05-24	unknown	
697	Leo	Brown	2023-05-09	unknown	1
698	Leo	Brown	2023-01-31	45	true
699	Jane	Green	2024-01-13		true
700		Patel		unknown	true
701	Alice	Johnson	2023-04-13		true
702			2023-05-31	39	1
703	Mike		2023-07-03		true
704	Emma	White		62	
705	Mike	Lee	2023-12-02		0
706	John		2024-02-18		0
707	Bob	Green	2023-03-15		true
708	Tom		2023-05-23		
709	Raj	Doe	2023-02-06		
710	Raj	Smith			0
711	Leo		2024-03-01	20	
712	John	Lee	2023-10-27		false
713	Emma	Smith	2024-04-12		
714	Sara		2023-01-19	unknown	0
715	Mike		2024-05-06		0
716			2023-08-23	unknown	1
717		Smith		unknown	
718	Nina	Black	2023-12-28	unknown	1
719	Raj		2024-01-17		1
720	Emma	Johnson	2024-01-12	unknown	0
721	Chris	Lee		40	
722	Alice		2024-02-05		1
723	Bob	Johnson	2023-02-03	unknown	
724	Sara	Green	2023-06-28	76	1
725	Mike	Green	2024-05-07	40	1
726	Nina	Black		32	
727	Chris	Patel		62	0
728	Bob	Lee	2023-08-28	unknown	
"unterminated,quote,here
730		Green	2024-02-08	28	
731	Tom	Johnson	2023-02-11	29		extra_col
732	Mike	Patel	2023-08-12		1
733		Johnson			0
734	Raj	White	2023-01-01		false	extra_col
735		Brown	2023-12-14		
736	Bob	Smith	2023-04-24		true
737		Black	2023-03-06	40	true	extra_col
738	John	Patel	2023-06-25	57	0
739	Nina	Green	2023-05-28	unknown	false
740		Doe	2023-09-21	74	false
741	John	Doe	2024-01-17		
742		Black	2023-03-20	unknown	true
743	Jane	Patel	2023-06-06	unknown	1
744	Raj	Lee	2024-02-01		
745	Leo	Green	2023-11-08	46	
746	Tom	Brown	2023-06-02		true
747	Tom		2023-08-27	unknown	
748	Raj	White	2023-12-19		1
749	Leo	White		55	true
750	Mike	Smith	2024-02-12		0
751		Doe	2023-01-10	unknown	
752	Alice	Patel	2024-04-03	56	1
753		Brown	2024-03-22		1
754	Emma	Black	2024-01-14		
755	John		2023-06-14	unknown	
756	Alice	Lee	2023-11-19		
757		Smith			0
758	Raj	Johnson	2023-02-03	58	false
759	Chris	Lee	2024-02-23		
760	Sara	White		unknown	1
761	Alice	White	2023-04-08	21	0
762	Jane	Lee	2024-02-16	unknown	0
763	Nina	Patel	2023-02-20	unknown	true	extra_col
764	Sara		2023-09-09	66	1
765	Chris	Doe	2024-01-27		0
766	Raj		2023-11-01		0
767		Black	2024-01-10		
768	Jane	Doe	2024-03-15	unknown	true	extra_col
769	Bob	White	2023-07-04		false
770	Bob		2023-04-26	46	1
771	Sara	Johnson	2023-10-04	unknown	0
772	Bob	Green			false
773	Chris	Green			1
774	Emma	Brown	2023-09-15		
775	Leo	Smith	2024-03-16	unknown	
